0.027 0.101 0.311 0.622 0.845 0.944 0.982 0.994 1
0.026 0.076 0.243 0.649 0.86 0.95 0.984 0.995 1
0.056 0.104 0.303 0.549 0.857 0.948 0.984 0.995 1
0.053 0.161 0.332 0.577 0.77 0.947 0.983 0.995 1
0.057 0.183 0.472 0.665 0.8 0.906 0.983 0.995 1
0.044 0.196 0.51 0.801 0.862 0.921 0.967 0.995 1
0.027 0.149 0.522 0.796 0.928 0.953 0.973 0.989 1
0.021 0.103 0.454 0.758 0.928 0.977 0.984 0.991 1
0.021 0.076 0.294 0.713 0.918 0.976 0.993 0.994 1
0.025 0.074 0.24 0.576 0.898 0.975 0.993 0.998 1
0.032 0.09 0.25 0.534 0.822 0.966 0.993 0.998 1
0.046 0.127 0.305 0.578 0.798 0.937 0.99 0.997 1
0.041 0.164 0.358 0.623 0.82 0.925 0.98 0.997 1
0.03 0.147 0.449 0.704 0.855 0.936 0.976 0.994 1
0.018 0.113 0.396 0.741 0.878 0.95 0.979 0.992 1
0.016 0.073 0.329 0.702 0.903 0.96 0.984 0.993 1
0.016 0.059 0.227 0.633 0.885 0.969 0.987 0.995 1
0.032 0.069 0.213 0.497 0.855 0.964 0.991 0.996 1
0.04 0.098 0.204 0.495 0.76 0.948 0.989 0.997 1
0.041 0.125 0.264 0.502 0.75 0.907 0.984 0.997 1
0.039 0.129 0.32 0.535 0.76 0.898 0.969 0.995 1
0.03 0.124 0.328 0.594 0.775 0.9 0.966 0.99 1
0.028 0.094 0.318 0.601 0.808 0.909 0.967 0.989 1
0.026 0.088 0.255 0.592 0.812 0.923 0.966 0.989 1
0.032 0.078 0.24 0.524 0.807 0.925 0.972 0.988 1
0.031 0.101 0.218 0.505 0.768 0.923 0.972 0.99 1
0.028 0.097 0.269 0.476 0.756 0.906 0.971 0.99 1
0.024 0.087 0.261 0.541 0.736 0.901 0.965 0.99 1
0.021 0.075 0.237 0.531 0.778 0.892 0.963 0.987 1
0.022 0.062 0.209 0.502 0.773 0.911 0.96 0.986 1
0.025 0.067 0.177 0.463 0.754 0.908 0.967 0.985 1
0.032 0.075 0.19 0.415 0.727 0.9 0.966 0.988 1
0.029 0.099 0.21 0.436 0.69 0.888 0.963 0.987 1
0.042 0.09 0.26 0.472 0.724 0.878 0.96 0.988 1
0.037 0.132 0.25 0.537 0.737 0.889 0.955 0.986 1
0.042 0.115 0.336 0.522 0.778 0.895 0.96 0.984 1
0.032 0.133 0.305 0.616 0.771 0.913 0.962 0.986 1
0.039 0.099 0.339 0.581 0.822 0.909 0.968 0.986 1
0.033 0.122 0.27 0.616 0.805 0.93 0.967 0.989 1
0.029 0.103 0.316 0.548 0.823 0.923 0.975 0.988 1
